"","X1","X2","word","col","term_count","doc_count","count","avg_sentiment","sum_sentiment","sd_sentiment"
"52",-3.36855365054442,-1.41297456958566,"full","#FF0090FF",27,23,17,0.278487921871451,4.73429467181467,0.219633855395955
"53",-2.07052956363568,-1.00485230457327,"got","#FF008FFF",27,25,56,0.199810794980304,11.189404518897,0.196807292535642
"54",1.89147860587947,3.68096456945748,"must","#FF008EFF",28,26,34,0.28896548234251,9.82482639964534,0.172220292282287
"55",-0.016291338991042,-4.08321346335366,"almost","#FF008DFF",28,25,11,0.213819996776961,2.35201996454657,0.124036862829714
"56",-2.85572436194696,-0.0691937192920861,"fight","#FF008CFF",28,24,36,0.160957918798604,5.79448507674974,0.143704850549966
"57",1.62358630241725,-2.37613981020672,"stars","#FF008BFF",28,27,49,0.145334804461337,7.1214054186055,0.173199347109324
"58",-2.12336060053559,-1.06002155923598,"come","#FF008AFF",28,25,37,0.170989171645379,6.32659935087903,0.167366657563237
"59",4.39794377010469,-2.41724450616751,"waste","#FF0089FF",28,24,3,0.198551612596337,0.59565483778901,0.249109800287246
"60",2.18912641100684,0.66045734100164,"feel","#FF0088FF",28,23,34,0.184927014349865,6.28751848789539,0.162173367665296
"61",-2.57012889594002,0.0949990424632903,"end","#FF0087FF",29,26,54,0.179918507973821,9.71559943058635,0.161021253985215
"62",-1.11112600263569,-1.81747885921602,"money","#FF0086FF",29,27,12,0.33123748315193,3.97484979782317,0.20618390102678
"63",-2.3955475203577,-0.975425557115341,"war","#FF0085FF",29,20,64,0.110941549023517,7.10025913750507,0.154979422728125
"64",-3.1758758594376,-0.0523930801432929,"cast","#FF0083FF",29,22,52,0.283251899810968,14.7290987901703,0.183844287073368
"65",4.26334449837829,-2.03172468873454,"fan","#FF0082FF",30,27,77,0.250469321706027,19.2861377713641,0.1644482355857
"66",2.52235246757824,0.557450581609522,"life","#FF0081FF",30,28,37,0.234919656301124,8.6920272831416,0.185955362798531
"67",-3.02557211949966,-0.432107768953028,"everything","#FF0080FF",30,27,42,0.224917362514044,9.44652922558985,0.215068943947254
"68",2.1615723953879,1.48869561320661,"dceu","#FF007FFF",30,21,15,0.192625517263714,2.88938275895571,0.111424377131624
"69",-2.49082561241515,0.746457243151562,"every","#FF007EFF",30,27,37,0.240921018586357,8.91407768769522,0.180339757776538
"70",-2.41413571116004,-1.93417910196229,"thing","#FF007EFF",30,27,26,0.124618162183758,3.24007221677771,0.237344757814621
"71",-2.92034799697693,-1.74650578961765,"want","#FF007DFF",30,29,34,0.162110646056228,5.51176196591177,0.156841508357376
"72",-2.07230423004971,-0.748890750555258,"things","#FF007CFF",30,25,32,0.192193094733193,6.15017903146216,0.141429690022349
